unit,day,minutes,size_mb,width,height,topic_guess,path
1,6,35.16,87.3,1920,1440,U1 - D6,teacher and student work/Copy of Algebra 2B (Khan) G Block 10/U1 - D6 Video.mp4
2,1,27.76,79.0,1920,1440,U2 - D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 10/U2 - D1 Video(1).mp4
6,3,10.45,302.3,1440,1920,U6-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 10/U6-D3 Video (23-24).mp4
6,5,11.46,404.8,1440,1920,U6-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 10/U6-D5 video 22-23.mp4
6,6,10.77,403.9,1440,1920,U6-D6,teacher and student work/Copy of Algebra 2B (Khan) G Block 10/U6-D6 Video (23-24).mp4
review,,20.38,755.5,1440,1920,Unit 8 Study Guide,teacher and student work/Copy of Algebra 2B (Khan) G Block 10/Unit 8 Study Guide Video.mp4
4,1,8.57,255.2,1440,1920,U4-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 11/U4-D1 Video(1).MP4
unknown,,5.98,333.9,1440,1920,U5 Calculator Help,teacher and student work/Copy of Algebra 2B (Khan) G Block 11/U5 Calculator Help Video.mp4
6,2,8.15,260.3,1440,1920,U6-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 11/U6-D2  Video (23-24).MP4
8,3,11.25,389.0,1440,1920,U8-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 11/U8-D3 Video.mp4
8,4,7.91,252.9,1440,1920,U8-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 11/U8-D4 Video.mp4
8,5,16.11,522.2,1440,1920,U8-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 11/U8-D5 video.mp4
5,7,12.57,380.7,1440,1920,U5-D7,teacher and student work/Copy of Algebra 2B (Khan) G Block 12/U5-D7 Video (23-24).mp4
6,1,5.62,163.3,1440,1920,U6-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 12/U6-D1 Video Part 2 (23-24).MP4
8,1,8.57,298.5,1440,1920,U8-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 12/U8-D1 Video.mp4
8,2,9.08,311.4,1440,1920,U8-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 12/U8-D2 Video.mp4
review,,16.23,546.9,1440,1920,Unit 5 Study Guide,teacher and student work/Copy of Algebra 2B (Khan) G Block 12/Unit 5 Study Guide Video.mp4
review,,12.32,281.1,1440,1920,Unit 7 Study Guide,teacher and student work/Copy of Algebra 2B (Khan) G Block 12/Unit 7 Study Guide Video (23-24).mp4
4,2,9.01,284.8,1440,1920,U4-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 13/U4-D2 Video.MP4
5,4,21.12,547.7,1440,1920,U5-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 13/U5-D4 Video (23-24).mp4
5,5,13.28,290.6,1440,1920,U5-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 13/U5-D5 Video (23-24).mp4
5,6,14.19,344.7,1440,1920,U5-D6,teacher and student work/Copy of Algebra 2B (Khan) G Block 13/U5-D6 Video (23-24).mp4
7,4,15.95,539.7,1440,1920,U7-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 13/U7-D4 Video.mp4
review,,10.41,485.4,1440,1920,U4 Review,teacher and student work/Copy of Algebra 2B (Khan) G Block 14/U4 Review Video.MP4
5,1,11.93,482.9,1440,1920,U5-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 14/U5-D1 Video (23-24).mp4
5,2,15.79,429.1,1440,1920,U5-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 14/U5-D2 Video (23-24).mp4
5,3,18.53,628.2,1440,1920,U5-D3 1.41.21 PM,teacher and student work/Copy of Algebra 2B (Khan) G Block 14/U5-D3 Video (23-24) 1.41.21 PM.mp4
2,2,26.06,85.7,1920,1440,U2 - D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 15/U2 - D2 Video.mp4
3,4,10.15,396.1,1440,1920,U3-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 15/U3-D4 video.MP4
3,5,13.12,307.9,1440,1920,U3-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 15/U3-D5 Video.mp4
4,3,9.57,256.7,1440,1920,U4-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 15/U4-D3 Video.MP4
4,5,15.32,363.1,1440,1920,U4-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 15/U4-D5 Video.MP4
